,scenario_id,title,description,category,listing_price,buyer_target,seller_target,outcome,accepted_price,transcript,prices,actions,transcript_display,bias,aggressiveness,fairness,dialogue_length,bias_cond_dialogue_length,rel_efficiency,probing_ratio,concession_rate
0,09aea678-c5cd-4967-8a2f-b650f3520c55,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,phone,10.0,7.0,10.0,Accepted,10.0,"	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: $8.0 works for me
	Seller: i'll take it for $
","[-1.0, -1.0, -1.0, -1.0]","['<offer|counter|accept|reject>', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'accept']","
      =================================================================================================
      Negotiation for: <Verizon Car Charger with Dual Output Micro USB and LED Light>
      =================================================================================================
      	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: $8.0 works for me
	Seller: i'll take it for $
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 10.0
      =================================================================================================
      ",-1.0,0.0,0.0,4,-0.25,0.0,0.0,
1,e5cd53dc-424c-4197-8eb8-ed8861b19e0d,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,bike,200.0,120.0,200.0,Accepted,200.0,"	Buyer: $200 works for me. let's finalize
",[-1.0],['accept'],"
      =================================================================================================
      Negotiation for: <Long board custom bilt from the board up>
      =================================================================================================
      	Buyer: $200 works for me. let's finalize
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 200.0
      =================================================================================================
      ",-1.0,0.0,0.0,1,-1.0,0.0,0.0,
2,02cfdc52-9530-4ac7-97fa-e4055cd0b6d0,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you!,furniture,585.0,444.0,585.0,Accepted,585.0,"	Buyer: i understand that the price is a bit higher than what
	Seller: i accept the price of $585.0
","[-1.0, -1.0]","['counter', 'accept']","
      =================================================================================================
      Negotiation for: <Sectional Couch>
      =================================================================================================
      	Buyer: i understand that the price is a bit higher than what
	Seller: i accept the price of $585.0
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 585.0
      =================================================================================================
      ",-1.0,0.0,0.0,2,-0.5,0.0,0.0,
3,8ba14ae4-1de2-4551-9959-d95d54141be5,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage.",car,14500.0,8700.0,14500.0,Accepted,14500.0,"	Buyer: i accept your offer of $20.
",[-1.0],['accept'],"
      =================================================================================================
      Negotiation for: <2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title>
      =================================================================================================
      	Buyer: i accept your offer of $20.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 14500.0
      =================================================================================================
      ",-1.0,0.0,0.0,1,-1.0,0.0,0.0,
4,cbd117d3-ebb8-4b5d-9817-905e351a2368,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,furniture,125.0,95.0,125.0,Accepted,125.0,"	Buyer: i see what you did there with the slip
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: i can do $95.0, considering
	Seller: i can do $130 given the
	Buyer: <the agent's message>
	Seller: $145.0
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', 'counter', '<offer|counter|accept|reject>', 'accept']","
      =================================================================================================
      Negotiation for: <Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo>
      =================================================================================================
      	Buyer: i see what you did there with the slip
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: i can do $95.0, considering
	Seller: i can do $130 given the
	Buyer: <the agent's message>
	Seller: $145.0
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 125.0
      =================================================================================================
      ",-1.0,0.0,0.0,8,-0.125,0.0,0.0,
5,15a0be73-0d95-4adb-9231-b3e0e0a687b3,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond.",electronics,75.0,69.0,75.0,Accepted,65.0,"	Buyer: i'd be happy to offer $65.
	Seller: <the agent's message>
	Buyer: i'd be happy to offer $
	Seller: i can do $180, but i need to
	Buyer: i can do $120, but
	Seller: i can do $80
	Buyer: i accept your offer of $65.
","[65.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', '<offer|counter|accept|reject>', 'offer', 'counter', 'counter', 'counter', 'accept']","
      =================================================================================================
      Negotiation for: <Brand NEW SanDisk ULTRA MicroSDXC 200GB>
      =================================================================================================
      	Buyer: i'd be happy to offer $65.
	Seller: <the agent's message>
	Buyer: i'd be happy to offer $
	Seller: i can do $180, but i need to
	Buyer: i can do $120, but
	Seller: i can do $80
	Buyer: i accept your offer of $65.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 65.0
      =================================================================================================
      ",2.3333333333333335,0.13333333333333333,-1.3333333333333335,7,0.33333333333333337,-0.1904761904761905,0.0,0.0
6,69a2d2b0-e339-45bc-8e00-9ff69db0d124,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system.",electronics,220.0,132.0,220.0,Accepted,180.0,"	Buyer: i can offer $180, considering the item's condition
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: i can offer $200, considering the item
	Buyer: <the agent's message>
	Seller: i can do $190, but i
	Buyer: i can do $200, but i'd
	Seller: i can do $200, but
	Buyer: <the agent's message>
	Seller: i appreciate your attention to detail, but the item's
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: i understand, but considering the item has been
	Seller: 
	Buyer: i'd like to make a final offer of
","[180.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', '<offer|', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>', 'counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', '', 'accept']","
      =================================================================================================
      Negotiation for: <Bose Soundlink 3 brand new>
      =================================================================================================
      	Buyer: i can offer $180, considering the item's condition
	Seller: <the agent's message>
	Buyer: <the agent's message>
	Seller: i can offer $200, considering the item
	Buyer: <the agent's message>
	Seller: i can do $190, but i
	Buyer: i can do $200, but i'd
	Seller: i can do $200, but
	Buyer: <the agent's message>
	Seller: i appreciate your attention to detail, but the item's
	Buyer: <the agent's message>
	Seller: <the agent's message>
	Buyer: i understand, but considering the item has been
	Seller: 
	Buyer: i'd like to make a final offer of
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 180.0
      =================================================================================================
      ",-0.09090909090909094,0.18181818181818182,0.9090909090909091,15,-0.006060606060606062,0.0606060606060606,0.0,0.0
7,ff3d27d6-5a0d-4908-9df4-ecf8b2b279aa,Apple iPhone 5S 16gb Space Gray,"Apple iPhone 5S 16gb Space Gray,Like New Condition (no scratches anywhere),Will be reset to factory specs before sale",phone,160.0,121.0,160.0,Accepted,160.0,"	Buyer: i can offer $150 considering the wear and
	Seller: i can offer $180 given
	Buyer: i can meet you at $180.
	Seller: i can do $200, but i can
	Buyer: <the agent's message>
	Seller: i can meet you
	Buyer: i will not exceed my target price and will
	Seller: i can do $200, but i can
	Buyer: <the agent's message>
	Seller: i can do $165, but
	Buyer: i'd like to know more
	Seller: i can offer $180 given the item's
	Buyer: accept the offer to buy the apple iphone
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', 'counter', '<offer|counter|accept|reject>', '<offer|counter|accept|reject>', 'counter', 'counter', 'accept']","
      =================================================================================================
      Negotiation for: <Apple iPhone 5S 16gb Space Gray>
      =================================================================================================
      	Buyer: i can offer $150 considering the wear and
	Seller: i can offer $180 given
	Buyer: i can meet you at $180.
	Seller: i can do $200, but i can
	Buyer: <the agent's message>
	Seller: i can meet you
	Buyer: i will not exceed my target price and will
	Seller: i can do $200, but i can
	Buyer: <the agent's message>
	Seller: i can do $165, but
	Buyer: i'd like to know more
	Seller: i can offer $180 given the item's
	Buyer: accept the offer to buy the apple iphone
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 160.0
      =================================================================================================
      ",-1.0,0.0,0.0,13,-0.07692307692307693,0.0,0.0,
8,8d7a36d0-3926-4ef7-be9d-b1dbee2b2d15,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,bike,600.0,456.0,600.0,Rejected,N/A,"	Buyer: i can offer $456.0
	Seller: i can do $180 for that
	Buyer: i can offer $450 considering it's
	Seller: since the item is a rare
	Buyer: <the agent's message>
	Seller: i think you'll find this is
	Buyer: i can do $350
	Seller: i can do $180
	Buyer: <the agent's message>
	Seller: i think you're lowballing a little
	Buyer: 
	Seller: i can do $500.
	Buyer: i think you're lowballing
	Seller: i think you're lowballing
	Buyer: 
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['offer', 'counter', 'counter', 'counter', 'offer', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>', 'counter', '', 'counter', 'counter', 'counter', '<offer|counter|accept|reject>']","
      =================================================================================================
      Negotiation for: <Steel Frame Colnago>
      =================================================================================================
      	Buyer: i can offer $456.0
	Seller: i can do $180 for that
	Buyer: i can offer $450 considering it's
	Seller: since the item is a rare
	Buyer: <the agent's message>
	Seller: i think you'll find this is
	Buyer: i can do $350
	Seller: i can do $180
	Buyer: <the agent's message>
	Seller: i think you're lowballing a little
	Buyer: 
	Seller: i can do $500.
	Buyer: i think you're lowballing
	Seller: i think you're lowballing
	Buyer:
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Rejected
      Agreed Price: N/A
      =================================================================================================
      ",,,,15,,,0.0,
9,28281abc-4e98-4748-bab4-1e095d8d68bf,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust,EMME Apartment Homes,6350 Christie Ave, Emeryville, CA 94608,We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances!,All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation!,Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart!,Schedule your appointment today!!,Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",housing,2834.0,1700.0,2834.0,Accepted,2834.0,"	Buyer: i can do $2200, considering
	Seller: i can do $2300, but i
	Buyer: <the agent's message>
	Seller: i appreciate your offer of
","[-1.0, -1.0, -1.0, -1.0]","['counter', 'counter', '<offer|counter|accept|reject>', 'accept']","
      =================================================================================================
      Negotiation for: <Beautiful 1 Bedroom Home with Balcony Available Mid June!>
      =================================================================================================
      	Buyer: i can do $2200, considering
	Seller: i can do $2300, but i
	Buyer: <the agent's message>
	Seller: i appreciate your offer of
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 2834.0
      =================================================================================================
      ",-1.0,0.0,0.0,4,-0.25,0.0,0.0,
